id	sentence
1	10 câu nói bất hủ của Bill Gates Trước khi về hưu vào tháng 7/2008, Bill Gates đã đưa ra 10 lời khuyên dành cho các bạn thanh niên trên con đường lập nghiệp.
2	Biết đâu nhờ học hỏi những lời khuyên bổ ích này, một ngày nào đó bạn sẽ trở thành một Bill Gates thứ hai.
3	“Cuộc sống vốn không công bằng - Hãy tập quen dần với điều đó.” -> Thế giới không bao giờ công bằng.
4	Bạn biết điều này chứ.
5	Bạn không bao giờ có thể thay đổi cả thế giới.
6	Sự bất công luôn tồn tại trong xã hội hiện tại, vì thế hãy cố gắng thích nghi.
7	“Không ai quan tâm đến lòng tự trọng của bạn đâu.
8	Mọi người chỉ trông đợi bạn đạt được điều gì đó trước khi bạn cảm thấy hài lòng về bản thân.” -> Lòng tự trọng thái quá có thể sẽ gây khó khăn cho công việc của bạn.
9	Đừng quá đề cao lòng tự trọng của mình vì điều người ta quan tâm là bạn đạt được gì, chứ không phải là lòng tự trọng.
10	“Bạn sẽ không thể kiếm được 40.000 USD/năm ngay sau khi tốt nghiệp trung học.
11	Bạn cũng không là một ông sếp lớn có điện thoại gắn trên ô tô cho đến khi bạn kiếm được hai thứ đó.” -> Thường thường, bạn không thể giàu có nếu chỉ vừa mới tốt nghiệp trung học.
12	Tuy nhiên, để trở thành một nhà quản lý cấp cao, bạn cần có cả hai: bằng tốt nghiệp trung học và tiền bạc.
13	“Nếu bạn nghĩ rằng giáo viên của mình thật hắc ám thì hãy đợi đến khi bạn làm việc dưới trướng một ông chủ.
14	Rồi bạn sẽ thấy với ông ta thì không có khái niệm nhiệm kỳ nắm quyền.” -> Đừng than vãn rằng sếp của bạn khó tính quá.
15	Khi ngồi trên ghế nhà trường, lúc gặp khó khăn trong học tập thì có giáo viên giúp đỡ bạn.
16	Tuy nhiên, nếu lúc đó bạn lại cảm thấy mọi khó khăn bạn gặp phải đều do những yêu cầu quá nghiêm khắc từ phía giáo viên, thì bạn đừng nên đi làm.
17	Đơn giản là vì nếu không có những yêu cầu nghiêm khắc từ phía công ty, thì chắc chắn bạn sẽ không làm gì và nhanh chóng thất nghiệp.
18	Và lúc này cũng sẽ không có ai giúp đỡ bạn cả.
19	“Nếu như bạn làm rối tung mọi chuyện lên thì đó không phải lỗi của bố mẹ bạn, thế nên đừng có mà ta thán về lỗi lầm của bạn, hãy rút kinh nghiệm từ chúng.” -> Đừng quy thất bại của bạn cho định mệnh.
20	Tất cả những gì bạn cần hiện giờ là giữ bình tĩnh và bắt đầu lại từ đầu.
21	"“Trước khi bạn ra đời, bố mẹ của bạn đã chẳng ""đáng chán"" như bây giờ."
22	Bố mẹ đã trả những hoá đơn của bạn, giặt giũ quần áo bạn sạch sẽ và lắng nghe bạn kể xem bạn sành điệu như thế nào.
23	Vì vậy trước khi cằn nhằn bố mẹ điều gì thì hãy dọn dẹp buồng ngủ của bạn cho ngăn nắp đi đã.” -> Bạn nên thể hiện lòng biết ơn của mình với bố mẹ vì đã dành phần lớn cuộc đời nuôi bạn khôn lớn.
24	Sự “cổ lổ sĩ” của bố mẹ bạn ngày nay là cái giá họ phải trả cho sự lớn khôn của bạn.
25	“Ở trường học có thể không có người thắng kẻ thua nhưng ở trường đời thì không phải vậy.
26	Ở một số trường học người ta còn hủy bỏ những điểm rớt và cho bạn cơ hội để bạn giành điểm cao.
27	Trong cuộc sống thực không bao giờ có chuyện như thế đâu.” -> Hãy tự nhủ rằng bạn luôn có thể trở thành người đứng đầu, như vậy bạn sẽ có nhiều động lực hơn để phấn đấu cho sự nghiệp của mình.
28	“Cuộc sống không được chia thành những học kỳ.
29	Bạn cũng chẳng có mùa hè để nghỉ ngơi và rất ít ông chủ nào quan tâm và giúp bạn tìm ra cơ hội này.
30	Hãy tự làm điều mình muốn trong thời gian nhàn rỗi của bạn.” -> Đừng luôn ngóng chờ các ngày nghỉ lễ, nếu không bạn sẽ bị tụt hậu so với đồng nghiệp của mình.
31	Sự tụt hậu này đồng nghĩa với sự đào thải và thất nghiệp.
32	“Truyền hình không phải là cuộc sống thực.
33	Trong cuộc sống, người ta phải biết rời khỏi quán cà phê giải trí để đi làm việc.” -> Ai cũng thích xem phim truyền hình.
34	Tuy nhiên, bạn không nên xem quá nhiều vì đó không phải là cuộc sống của bạn và tư tưởng của bạn sẽ bị chúng ảnh hưởng.
35	Cuộc sống của bạn nên do bạn quyết định.
36	“Hãy hòa nhã với những kẻ dở hơi.
37	Ai biết được ngày sau và khi đó bạn có thể phải làm việc cho một kẻ như vậy.” -> Bạn nên hòa nhã với mọi người.
38	Trong cuộc sống luôn xảy ra những điều bạn không muốn chút nào.
39	Hãy cởi mở với sếp và đừng nói xấu sau lưng họ vì nó sẽ chẳng giúp ích gì cho bạn đâu.
